w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
-7.775577327450981791e-02,-8.935492450980393395e-03,-6.159402025490195998e-02,1.917205823529409894e-02,4.138779015764705860e-01,-1.190168603921568646e+01,2.284068066666666563e-01,-7.040704444444444154e-02,4.004564355555555455e-01,3.160157592857142461e+01,2.497000000000000242e+01,9.831413599999999642e-01,-1.158976649999999935e-02,-3.157817299999999931e-03,1.824521899999999863e-01,-1.278586200000000027e-02,4.739266300000000154e-02,-1.329229800000000017e+00,2.550374699999999883e+00,2.967736700000000116e+00,-1.199690099999999982e+00
-1.683158626800000113e-01,8.764150653399999102e-02,-1.370590250699999998e-02,4.637555179999994226e-02,5.923435019999999662e-01,-1.118305212399999782e+01,2.293013309999999971e-01,-7.648821499999998441e-02,3.940769419999999856e-01,3.179314371428571206e+01,2.498571428571429109e+01,9.838987999999999623e-01,-1.780775999999999887e-02,-9.474424000000000387e-03,1.775849599999999862e-01,-2.534052200000000074e-02,1.095357539999999991e-01,-1.720461500000000088e+00,2.541406900000000135e+00,2.980048399999999820e+00,-1.492964500000000028e+00
-6.212453963999998996e-02,4.494941533999998601e-02,-5.058124335999999999e-02,-7.703877675999998287e-02,4.843868715999999908e-01,-1.119452520199999768e+01,2.237685488888888907e-01,-7.918734555555556609e-02,3.973695844444444791e-01,3.201962846153845987e+01,2.499692307692307480e+01,9.838651999999999953e-01,-2.868789000000000061e-02,-3.965404999999999971e-03,1.765516299999999872e-01,1.058911249999999922e-02,1.070436800000000022e-01,-1.978741599999999989e+00,2.542028000000000176e+00,2.988690099999999905e+00,-1.867019900000000066e+00
-8.923388294117647057e-02,-6.346740166078430889e-02,-3.474323370588235961e-03,-3.560326149019608089e-01,5.154539489999999669e-01,-1.169561477450980291e+01,2.250937644444444552e-01,-8.016293444444444471e-02,3.970266033333333389e-01,3.249637814285714654e+01,2.501142821428570784e+01,9.865262500000000490e-01,-2.845750699999999994e-02,-3.337916700000000039e-03,1.610748200000000074e-01,-9.591153999999999305e-03,8.854215000000000002e-02,-2.317669200000000096e+00,2.541002799999999784e+00,3.011759000000000075e+00,-2.288702199999999909e+00
-2.970519887540000112e-02,-3.046790365999999320e-02,-1.485440115359999876e-02,-4.480333401400001248e-01,3.587171420800001620e-01,-1.097608078000000198e+01,2.347015922222221995e-01,-7.886214999999999198e-02,3.922248266666666372e-01,3.306353278571428689e+01,2.502499899999999045e+01,9.858995000000000397e-01,-3.008020000000000138e-02,-1.575807499999999986e-02,1.638569500000000012e-01,-5.011253400000000024e-02,3.239897299999999758e-02,-2.690542199999999884e+00,2.530922200000000011e+00,3.017269999999999897e+00,-2.757421299999999853e+00
-1.330569001959999997e-01,2.484730397999999809e-03,4.229678502000000506e-02,-2.145051803600000473e-01,4.261599204800000096e-01,-9.387371631999998911e+00,2.382465519999999726e-01,-8.321977399999999636e-02,3.826555790000000234e-01,3.349291028571429507e+01,2.503857064285714529e+01,9.858376399999999595e-01,-2.994250299999999879e-02,-2.100925999999999835e-02,1.636647599999999925e-01,-9.586962999999999735e-02,-1.806566299999999917e-02,-2.862578399999999856e+00,2.510527999999999871e+00,3.009183600000000069e+00,-3.314157199999999914e+00
-4.868899196660000234e-02,2.042531522000000030e-02,7.087310084000000843e-02,-2.071139625999999789e-01,3.627779436280000325e-01,-8.730010312000000994e+00,2.409963755555555309e-01,-9.121959777777778611e-02,3.812493455555555633e-01,3.387453685714285712e+01,2.505357142857142705e+01,9.844625999999999655e-01,-3.980162999999999757e-02,-2.522119899999999970e-02,1.691546600000000122e-01,-5.964129399999999748e-02,-5.826006499999999977e-02,-2.745710799999999896e+00,2.497444199999999892e+00,2.999546000000000046e+00,-3.851724599999999832e+00
8.424192412339999436e-02,3.101142688400002675e-03,5.984027849999999649e-02,-9.741914479999995435e-02,2.051901471199999716e-01,-8.969306146000000979e+00,2.390085511111111338e-01,-8.926841333333333794e-02,3.833072511111110803e-01,3.451905876923076022e+01,2.505999999999999872e+01,9.832781999999999911e-01,-3.685940399999999839e-02,-2.422461999999999879e-02,1.766881299999999988e-01,-2.015243099999999843e-02,-1.119460300000000019e-01,-2.497193600000000124e+00,2.501241400000000059e+00,2.980255999999999794e+00,-4.346345399999999692e+00
6.377293500000000281e-02,4.271185109615385778e-02,2.134946569711538081e-02,-1.563989801730769069e-01,2.438349701923076540e-01,-9.232569615384614181e+00,2.383459433333333377e-01,-8.243930444444444450e-02,3.850221611111110942e-01,3.509845846666667057e+01,2.507599999999998985e+01,9.824678300000000419e-01,-2.416708099999999998e-02,-2.234691399999999897e-02,1.835038800000000081e-01,3.210473400000000282e-02,-1.535823299999999891e-01,-2.321423999999999932e+00,2.507197000000000120e+00,2.953870999999999913e+00,-4.825680700000000378e+00
1.729523773877550755e-02,1.138625633469387832e-01,1.095566573918367419e-02,-2.205591084285714321e-01,2.323583254897959305e-01,-9.148099499999998940e+00,2.364575060000000395e-01,-7.853695300000000656e-02,3.851250600000000190e-01,3.548228684615384765e+01,2.508846153846153726e+01,9.822448499999999472e-01,-1.576760199999999862e-02,-2.111890699999999926e-02,1.857431400000000010e-01,7.214987000000000483e-02,-1.461527200000000137e-01,-2.203158999999999867e+00,2.519569199999999842e+00,2.929012000000000171e+00,-5.264923999999999715e+00
