w_x,w_y,w_z,a_x,a_y,a_z,m_x,m_y,m_z,h,T,q0,q1,q2,q3,Vn,Ve,Vd,Pn,Pe,Pd
3.521313436000000352e-01,-2.633067010399999797e-01,-6.739027129999999866e-02,2.548749895999999904e-01,1.147994791740000187e+00,-9.984401871999999400e+00,3.814441611111110686e-01,-1.049108680000000043e-01,2.232818311111111065e-01,2.962417657142857319e+00,2.638214285714285623e+01,9.665726000000000040e-01,-2.672237900000000096e-02,-1.841358800000000018e-01,1.764012600000000042e-01,1.459079599999999921e+00,2.468856800000000101e-02,-5.808037000000000338e-01,6.129424599999999668e-01,1.827251199999999909e-01,-1.123312799999999889e+00
2.146469565999999662e-01,-1.302860020599999891e-01,-2.986134126800000024e-02,-1.473645140999999270e-01,1.106462354480000077e+00,-1.049401283199999924e+01,3.893704888888889215e-01,-8.726862022222221793e-02,2.138414355555555424e-01,2.831143723076923191e+00,2.638538461538460922e+01,9.637859500000000024e-01,1.067151199999999932e-02,-1.996355800000000069e-01,1.764890100000000017e-01,2.163591100000000100e+00,3.549707200000000173e-01,-5.250204000000000537e-01,9.726812999999999709e-01,2.052354200000000017e-01,-1.309035299999999902e+00
-2.016587645999999845e-01,2.362294303899999948e-01,-9.117636749999999098e-04,-6.481860407399999691e-01,9.792163571999999983e-01,-1.049386832399999925e+01,3.910218088888888777e-01,-8.302141122222221614e-02,2.117435722222222039e-01,2.700073064285714253e+00,2.638999999999999346e+01,9.573393999999999515e-01,3.676121300000000092e-02,-2.086409200000000075e-01,1.965171500000000016e-01,2.850422099999999848e+00,8.112762000000000029e-01,-5.065085999999999755e-01,1.480739699999999992e+00,3.399563400000000235e-01,-1.442540799999999956e+00
-4.612679203846153375e-01,5.968782657692307536e-01,-2.519638937500000564e-01,-5.023698476923077472e-01,8.961017724999998935e-01,-9.309923721153847254e+00,3.679033400000000231e-01,-9.903011999999999926e-02,2.519526400000000055e-01,2.551159485714285857e+00,2.638999999999999346e+01,9.662098999999999549e-01,-2.507513399999999979e-03,-1.733042899999999997e-01,1.907823700000000067e-01,3.451213599999999992e+00,1.225653499999999951e+00,-4.923395999999999884e-01,2.135780800000000035e+00,5.643221000000000487e-01,-1.552643100000000054e+00
-5.086104666000000885e-01,-5.437821942000000547e-02,-9.155273245999998588e-01,-5.659810406000000960e-01,9.065452341000000969e-01,-9.295751758000001530e+00,3.579954200000000086e-01,-8.857545322222221129e-02,2.673369822222222414e-01,2.491300799999999871e+00,2.638999999999999346e+01,9.789986600000000205e-01,-5.460343000000000141e-02,-1.305339500000000097e-01,1.467682600000000115e-01,3.857807600000000114e+00,1.369203900000000029e+00,-3.091152999999999818e-01,2.878530299999999986e+00,8.319407699999999961e-01,-1.594226499999999991e+00
-7.361208781999999395e-01,3.048957578200000018e-01,-1.407401714000000137e+00,-9.648361013799999775e-01,5.767432761399999830e-01,-1.019969996599999895e+01,3.694308149999999680e-01,-4.818614224999999418e-02,2.497236537499999964e-01,2.907212033333333334e+00,2.638500000000000156e+01,9.823355999999999755e-01,-8.944916999999999452e-02,-1.593491900000000017e-01,4.029131999999999852e-02,4.260112000000000343e+00,1.250441399999999925e+00,-1.675546199999999875e-01,3.686206600000000222e+00,1.091542699999999977e+00,-1.612138499999999919e+00
-1.218633855800000110e-01,2.591154031399999780e-01,-1.377072280000000148e+00,-9.956750187600000856e-01,2.331976993999999304e-01,-1.199205323800000045e+01,3.444545977777778156e-01,2.544573655555555647e-02,2.701341344444443959e-01,3.664142242857142850e+00,2.638785714285713979e+01,9.746172400000000513e-01,-1.315467800000000020e-01,-1.315139700000000078e-01,-1.245823699999999978e-01,4.652798699999999954e+00,8.389891000000000432e-01,-2.597812700000000086e-01,4.561374700000000004e+00,1.281626200000000049e+00,-1.689348700000000036e+00
-2.298971373936538609e-01,-6.837358688461538936e-01,-3.965047704615384250e-01,-1.280445363461538477e+00,1.065239021153845528e-01,-1.040156216538461464e+01,3.454453888888888713e-01,7.543210000000000193e-02,2.526519300000000245e-01,3.248020446153846663e+00,2.638999999999999346e+01,9.495592999999999950e-01,-1.287202500000000083e-01,-1.383859500000000076e-01,-2.502355299999999838e-01,4.941861000000000281e+00,2.610729999999999995e-01,-6.627094999999999514e-01,5.556407499999999722e+00,1.397000199999999914e+00,-1.867774700000000010e+00
-2.260750334599999911e-01,2.009785838999997298e-02,1.738987627599999919e-02,-1.550022746200000023e+00,2.486068599999998949e-02,-1.009235611399999932e+01,3.708757233333332959e-01,6.432402177777778174e-02,2.211839655555555562e-01,2.884846692857142791e+00,2.638999999999999346e+01,9.241484399999999599e-01,-1.750903000000000043e-01,-2.046202099999999968e-01,-2.709677200000000230e-01,5.240140000000000242e+00,-3.949847799999999798e-01,-5.717988999999999988e-01,6.592291000000000345e+00,1.354246400000000072e+00,-2.002967799999999965e+00
5.740778220000000154e-01,8.099451765000000858e-01,1.773331085999999834e-01,-1.612587261399999861e+00,-7.279741980000001278e-02,-1.163589470800000036e+01,3.388401177777777828e-01,7.085818533333333724e-02,2.613930366666666893e-01,3.959007699999999019e+00,2.638999999999999346e+01,9.313338399999999684e-01,-1.714480499999999907e-01,-1.710444999999999882e-01,-2.719682999999999962e-01,5.562891500000000100e+00,-1.172869699999999904e+00,-5.209726000000000079e-01,7.677728700000000295e+00,1.207295299999999960e+00,-2.074828000000000117e+00
