timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1059991480,1528824121000099,325150607,-1169559167,40498,6394,0.303,0.75204575,0.638,1.01,0.61,1.1,83,4,0.027,-0.024,0.013,0.039,3.7971466,0,4,1,20
1060196510,1528824121200099,325150608,-1169559166,40483,6379,0.201,0.7520531,0.63600004,1.008,0.61,1.1,83,4,0.018000001,0.009000001,-0.015000001,0.009000001,3.7971466,0,4,1,20
1060391480,1528824121400099,325150608,-1169559167,40461,6357,0.24700001,0.75206196,0.634,1.0070001,0.61,1.1,83,4,0.041,-0.001,-0.041,0.066,3.7971466,0,4,1,20
1060592493,1528824121600099,325150608,-1169559167,40446,6342,0.26700002,0.75207174,0.63100004,1.0040001,0.61,1.1,83,4,0.022000002,-0.003,-0.022000002,0.11100001,3.7971466,0,4,1,20
1060792497,1528824121800099,325150608,-1169559167,40410,6305,0.24800001,0.75208086,0.63100004,1.0040001,0.61,1.1,83,4,0.033,0.015000001,-0.029000001,0.07,3.7971466,0,4,1,20
1060992480,1528824122000099,325150608,-1169559166,40411,6306,0.28300002,0.7520911,0.63100004,1.003,0.61,1.1,83,4,0.059000004,-0.058000002,0.004,0.046000004,3.7971466,0,4,1,20
1061191341,1528824122200099,325150606,-1169559163,40573,6469,0.266,0.67593825,0.63100004,1.0040001,0.61,1.1,83,1,0.29000002,-0.186,0.22200002,-1.429,2.9515939,0,4,1,20
1061392481,1528824122400099,325150603,-1169559154,40949,6845,0.263,0.35006887,0.63000005,1.0040001,0.61,1.1,83,1,0.56200004,-0.21400002,0.52000004,-1.8470001,2.1703565,0,4,1,20
1061589780,1528824122600098,325150599,-1169559144,41331,7227,0.26700002,0.40489927,0.63100004,1.005,0.61,1.1,83,1,0.47300002,-0.25300002,0.4,-1.8470001,2.154655,0,4,1,20
1061790480,1528824122800098,325150597,-1169559136,41709,7605,0.279,0.5833225,0.632,1.008,0.61,1.1,83,1,0.367,-0.072000004,0.36,-1.8840001,2.0294194,0,4,1,20
1061986482,1528824123000098,325150595,-1169559130,42064,7960,0.286,0.58340997,0.634,1.0120001,0.61,1.1,83,1,0.20600002,-0.12200001,0.16600001,-1.8500001,2.0294194,0,4,1,20
1062194536,1528824123200098,325150594,-1169559126,42423,8319,0.30200002,0.5835021,0.637,1.018,0.61,1.1,110,3,0.192,-0.021000002,0.19100001,-1.9530001,2.0294194,0,4,1,20
1062394481,1528824123400098,325150595,-1169559123,42806,8702,0.344,0.5835941,0.643,1.029,0.61,1.1,110,3,0.094000004,0.059000004,0.07300001,-1.9530001,2.0294194,0,4,1,20
1062596496,1528824123600098,325150595,-1169559120,43213,9109,0.33200002,0.5836843,0.65000004,1.036,0.61,1.1,110,3,0.23500001,-0.085,0.21900001,-1.909,2.0294194,0,4,1,20
1062791535,1528824123800098,325150594,-1169559116,43617,9513,0.335,0.5837808,0.65500003,1.044,0.61,1.1,110,3,0.126,0.010000001,0.126,-2.049,2.0294194,0,4,1,20
1062998599,1528824124000098,325150594,-1169559114,44007,9902,0.33400002,0.5838758,0.66,1.052,0.61,1.1,110,3,0.025,0.001,0.025,-2.022,2.0294194,0,4,1,20
1063198550,1528824124200098,325150595,-1169559113,44385,10281,0.33100003,0.58397,0.66400003,1.059,0.61,1.1,125,4,0.087000005,0.009000001,0.087000005,-2.003,2.0294194,0,4,1,20
1063396532,1528824124400098,325150596,-1169559114,44781,10677,0.337,0.584073,0.669,1.067,0.61,1.1,125,4,0.15400001,0.1,-0.117000006,-2.1910002,2.0294194,0,4,1,20
1063591480,1528824124600098,325150598,-1169559116,45178,11073,0.335,0.5841746,0.674,1.075,0.61,1.1,125,4,0.186,0.13700001,-0.126,-2.1560001,2.0294194,0,4,1,20
1063809517,1528824124800098,325150601,-1169559120,45592,11488,0.337,0.58427775,0.67800003,1.082,0.61,1.1,125,4,0.24700001,0.117000006,-0.21800001,-2.183,2.0294194,0,4,1,20
1063999699,1528824125000098,325150603,-1169559123,46047,11942,0.335,0.58438015,0.68200004,1.088,0.61,1.1,125,4,0.16600001,0.10300001,-0.13000001,-2.1750002,2.0294194,0,4,1,20
1064205590,1528824125200098,325150605,-1169559127,46444,12340,0.31500003,0.5844856,0.684,1.0910001,0.61,1.1,116,4,0.246,0.15900001,-0.18800001,-2.2350001,2.0294194,0,4,1,20
1064401523,1528824125400098,325150608,-1169559130,46826,12722,0.31300002,0.5845903,0.68600005,1.0940001,0.61,1.1,116,4,0.22900002,0.14,-0.18100001,-2.2210002,2.0294194,0,4,1,20
1064597513,1528824125600098,325150611,-1169559133,47234,13130,0.312,0.58470064,0.68700004,1.098,0.61,1.1,116,4,0.142,0.127,-0.064,-2.3470001,2.0294194,0,4,1,20
1064798477,1528824125800098,325150613,-1169559134,47677,13573,0.312,0.5848127,0.689,1.1,0.61,1.1,116,4,0.074,0.072000004,0.017,-2.39,2.0294194,0,4,1,20
1065011480,1528824126000098,325150615,-1169559135,48119,14014,0.314,0.5849245,0.69000006,1.103,0.61,1.1,116,4,0.13900001,0.09900001,-0.097,-2.3790002,2.0294194,0,4,1,20
1065201820,1528824126200098,325150617,-1169559137,48576,14471,0.316,0.585042,0.69200003,1.1060001,0.61,1.1,108,5,0.120000005,0.106000006,-0.057000004,-2.505,2.0294194,0,4,1,20
1065398480,1528824126400098,325150619,-1169559139,49099,14995,0.31,0.5851651,0.69200003,1.1060001,0.61,1.1,108,5,0.13100001,0.106000006,-0.07700001,-2.6220002,2.0294194,0,4,1,20
1065599479,1528824126600098,325150621,-1169559142,49618,15514,0.31100002,0.5852977,0.69200003,1.1060001,0.61,1.1,108,5,0.22700001,0.16800001,-0.15200001,-2.8200002,2.0294194,0,4,1,20
1065803200,1528824126800098,325150623,-1169559146,50172,16068,0.30400002,0.5854361,0.69100004,1.1060001,0.61,1.1,108,5,0.13800001,0.112,-0.081,-2.953,2.0294194,0,4,1,20
1066000485,1528824127000098,325150624,-1169559149,50772,16668,0.3,0.58558184,0.69100004,1.105,0.61,1.1,108,5,0.101,0.066,-0.076000005,-3.1100001,2.0294194,0,4,1,20
1066196503,1528824127200098,325150624,-1169559152,51384,17280,0.298,0.5857347,0.69000006,1.1040001,0.61,1.1,108,5,0.056,-0.020000001,-0.053000003,-3.2630002,2.0294194,0,4,1,20
1066401602,1528824127400098,325150622,-1169559153,52011,17907,0.293,0.5858808,0.688,1.102,0.61,1.1,108,5,0.11000001,-0.11000001,-0.0050000004,-3.121,2.0294194,0,4,1,20
1066603987,1528824127600098,325150620,-1169559155,52644,18540,0.29200003,0.58603233,0.68700004,1.1010001,0.61,1.1,108,5,0.13100001,-0.091000006,-0.094000004,-3.2370002,2.0294194,0,4,1,20
1066802481,1528824127800098,325150617,-1169559159,53284,19179,0.282,0.5861819,0.683,1.097,0.61,1.1,108,5,0.231,-0.14400001,-0.18,-3.187,2.0294194,0,4,1,20
1067009519,1528824128000098,325150615,-1169559163,53869,19764,0.286,0.5863271,0.68100005,1.0940001,0.61,1.1,108,5,0.16600001,-0.069000006,-0.15100001,-3.1020002,2.0294194,0,4,1,20
1067202489,1528824128200098,325150614,-1169559166,54466,20362,0.277,0.58647686,0.67600006,1.0890001,0.61,1.1,101,10,0.108,-0.020000001,-0.106000006,-3.2020001,2.0294194,0,4,1,20
1067399480,1528824128400098,325150613,-1169559169,55136,21032,0.275,0.5866217,0.67200005,1.085,0.61,1.1,101,10,0.07300001,-0.023000002,-0.069000006,-3.095,2.0294194,0,4,1,20
1067600478,1528824128600098,325150612,-1169559171,55804,21699,0.28,0.58677024,0.67,1.082,0.61,1.1,101,10,0.054,-0.053000003,-0.014,-3.18,2.0294194,0,4,1,20
1067800549,1528824128800098,325150610,-1169559171,56491,22387,0.27600002,0.5869207,0.666,1.0780001,0.61,1.1,101,10,0.079,-0.065000005,0.045,-3.219,2.0294194,0,4,1,20
1068003223,1528824129000098,325150609,-1169559170,57165,23061,0.282,0.5870696,0.66400003,1.075,0.61,1.1,101,10,0.15400001,-0.10700001,0.11000001,-3.1840003,2.0294194,0,4,1,20
1068201520,1528824129200098,325150607,-1169559168,57839,23735,0.27800003,0.5872219,0.66,1.072,0.61,1.1,101,4,0.11000001,-0.065000005,0.089,-3.2600002,2.0294194,0,4,1,20
1068401521,1528824129400098,325150607,-1169559167,58476,24372,0.28,0.5873727,0.657,1.069,0.61,1.1,101,4,0.105000004,0.019000001,0.10300001,-3.226,2.0294194,0,4,1,20
1068597551,1528824129600098,325150607,-1169559166,59124,25019,0.28500003,0.5875237,0.65400004,1.067,0.61,1.1,101,4,0.018000001,0.002,0.018000001,-3.2340002,2.0294194,0,4,1,20
1068790486,1528824129800098,325150606,-1169559165,59772,25668,0.286,0.58767813,0.651,1.065,0.61,1.1,101,4,0.068,0.007,0.068,-3.3100002,2.0294194,0,4,1,20
1069000482,1528824130000098,325150606,-1169559163,60430,26326,0.286,0.58782893,0.64900005,1.0630001,0.61,1.1,101,4,0.07300001,0.009000001,0.072000004,-3.2310002,2.0294194,0,4,1,20
1069196482,1528824130200098,325150606,-1169559161,61080,26975,0.28500003,0.58798134,0.647,1.062,0.61,1.1,101,9,0.11400001,0.047000002,0.104,-3.2670002,2.0294194,0,4,1,20
1069397594,1528824130400098,325150607,-1169559158,61737,27633,0.284,0.5881309,0.64400005,1.0600001,0.61,1.1,101,9,0.126,0.047000002,0.117000006,-3.2040002,2.0294194,0,4,1,20
1069597512,1528824130600098,325150609,-1169559155,62357,28252,0.28300002,0.58826894,0.642,1.059,0.61,1.1,101,9,0.13800001,0.117000006,0.074,-2.959,2.0294194,0,4,1,20
1069797623,1528824130800098,325150611,-1169559153,62928,28824,0.28300002,0.58838224,0.64000005,1.0580001,0.61,1.1,101,9,0.075,0.068,0.032,-2.4320002,2.0294194,0,4,1,20
1070001516,1528824131000098,325150613,-1169559152,63385,29280,0.28500003,0.58847195,0.63900006,1.057,0.61,1.1,101,9,0.142,0.142,-0.0050000004,-1.9200001,2.0294194,0,4,1,20
1070200549,1528824131200098,325150615,-1169559152,63789,29684,0.287,0.58854645,0.637,1.056,0.61,1.1,100,18,0.16900001,0.126,-0.113000005,-1.588,2.0294194,0,4,1,20
1070399527,1528824131400098,325150618,-1169559153,64115,30011,0.29000002,0.5886107,0.63500005,1.0550001,0.61,1.1,100,18,0.163,0.12100001,-0.11000001,-1.3720001,2.0294194,0,4,1,20
1070601555,1528824131600098,325150620,-1169559154,64329,30224,0.291,0.5886548,0.634,1.0550001,0.61,1.1,100,18,0.060000002,0.058000002,-0.013,-0.94600004,2.0294194,0,4,1,20
1070795529,1528824131800098,325150623,-1169559154,64485,30380,0.29900002,0.5886838,0.633,1.0530001,0.61,1.1,100,18,0.22600001,0.22500001,0.021000002,-0.578,2.0294194,0,4,1,20
1071018480,1528824132000098,325150630,-1169559152,64562,30458,0.263,0.36879224,0.63100004,1.051,0.61,1.1,100,18,0.52900004,0.528,0.039,-0.347,0.6255885,0,4,1,20
1071202485,1528824132200098,325150642,-1169559151,64635,30531,0.22900002,0.29282433,0.63100004,1.0530001,0.61,1.1,100,17,0.757,0.75500005,0.054,-0.16000001,0.28587094,0,4,1,20
