timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,fix_type,vel_ned_valid,satellites_used
665194031,1537372480400322,323874058,-1170764249,18996,-15448,0.21300001,0.7446229,0.62600005,0.74,0.59999996,0.94,92,4,0.045,0.040000003,0.022000002,-0.035,5.650929,0,nan,3,1,18
665394076,1537372480600322,323874058,-1170764249,19003,-15441,0.22900002,0.74463123,0.62600005,0.74200004,0.59999996,0.94,92,4,0.010000001,0.009000001,0.004,-0.0050000004,5.650929,0,nan,3,1,18
665593514,1537372480800321,323874058,-1170764249,19011,-15433,0.20700002,0.7446389,0.62700003,0.74100006,0.59999996,0.94,92,4,0.013,0.002,-0.013,-0.015000001,5.650929,0,nan,3,1,18
665796519,1537372481000321,323874058,-1170764250,19018,-15426,0.22900002,0.74464744,0.62700003,0.74300003,0.59999996,0.94,92,4,0.013,0.003,-0.013,-0.093,5.650929,0,nan,3,1,18
665996562,1537372481200321,323874058,-1170764250,19028,-15417,0.20300001,0.74465495,0.628,0.74300003,0.59999996,0.94,92,4,0.057000004,0.057000004,-0.004,-0.025,5.650929,0,nan,3,1,18
666196455,1537372481400321,323874057,-1170764248,19116,-15328,0.193,0.7099456,0.628,0.74300003,0.59999996,0.94,92,1,0.28800002,-0.179,0.22600001,-0.48700002,0.87274,0,nan,3,1,18
666396442,1537372481600321,323874051,-1170764242,19380,-15064,0.22100002,0.4092064,0.629,0.74600005,0.59999996,0.94,92,1,0.57900006,-0.48100004,0.323,-2.181,2.1323426,0,nan,3,1,18
666597516,1537372481800321,323874041,-1170764232,19901,-14543,0.21300001,0.27247608,0.63000005,0.74600005,0.59999996,0.94,92,1,0.822,-0.56200004,0.6,-2.8300002,2.2651832,0,nan,3,1,18
666817634,1537372482000321,323874032,-1170764218,20449,-13995,0.22100002,0.29321006,0.63100004,0.748,0.59999996,0.94,92,1,0.75600004,-0.40300003,0.64000005,-2.736,2.2040234,0,nan,3,1,18
666993514,1537372482200321,323874025,-1170764206,20992,-13452,0.22600001,0.32331192,0.632,0.75000006,0.59999996,0.94,92,1,0.65800005,-0.36900002,0.544,-2.775,2.1872916,0,nan,3,1,18
