timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
50935217,1540574930400442,323874448,-1170763617,18164,-16280,0.393,0.751397,1.139,2.4490001,0.7,1.0799999,61,5,0.035,0.003,-0.035,0.13100001,0.99560416,0,nan,0.0,3,1,15
51111536,1540574930600442,323874451,-1170763616,18141,-16303,0.404,0.75141186,1.136,2.4450002,0.7,1.0799999,61,5,0.064,0.031000001,0.056,0.17300001,0.99560416,0,nan,0.0,3,1,15
51313498,1540574930800442,323874452,-1170763615,18102,-16343,0.42700002,0.75142735,1.1340001,2.4410002,0.7,1.0799999,65,1,0.049000002,0.047000002,-0.015000001,0.216,0.99560416,0,nan,0.0,3,1,15
51514584,1540574931000442,323874453,-1170763613,18060,-16385,0.363,0.75144064,1.1340001,2.4380002,0.7,1.0799999,65,1,0.10300001,-0.060000002,0.08400001,-0.009000001,0.99560416,0,nan,0.0,3,1,15
51713989,1540574931200442,323874452,-1170763614,18040,-16404,0.41300002,0.75145566,1.138,2.4420002,0.7,1.0799999,65,1,0.14400001,0.020000001,-0.142,0.10700001,0.99560416,0,nan,0.0,3,1,15
51920505,1540574931400442,323874453,-1170763615,18085,-16359,0.441,0.7514717,1.143,2.4450002,0.7,1.0799999,65,1,0.093,0.081,0.046000004,0.132,0.99560416,0,nan,0.0,3,1,15
52117505,1540574931600442,323874455,-1170763614,18021,-16423,0.453,0.75148827,1.148,2.4490001,0.7,1.0799999,65,1,0.042000003,0.017,0.038000003,0.19700001,0.99560416,0,nan,0.0,3,1,15
52314732,1540574931800442,323874455,-1170763612,18022,-16422,0.453,0.7515049,1.153,2.4540002,0.7,1.0799999,65,3,0.087000005,-0.059000004,0.065000005,0.261,0.99560416,0,nan,0.0,3,1,15
52718589,1540574932200442,323874454,-1170763613,17966,-16478,0.45100003,0.75153786,1.1650001,2.4640002,0.7,1.0799999,65,3,0.018000001,0.0,-0.018000001,0.098000005,0.99560416,0,nan,0.0,4,1,15
52919587,1540574932400442,323874454,-1170763615,17998,-16446,0.45200002,0.75155425,1.171,2.469,0.7,1.0799999,65,3,0.101,0.075,-0.068,0.23700002,0.99560416,0,nan,0.0,4,1,15
53120564,1540574932600442,323874455,-1170763616,18064,-16380,0.45400003,0.7515708,1.176,2.473,0.7,1.0799999,65,3,0.076000005,0.068,0.034,0.09900001,0.99560416,0,nan,0.0,4,1,15
53319504,1540574932800442,323874451,-1170763620,18337,-16108,0.45200002,0.75161344,1.1810001,2.479,0.7,1.0799999,65,5,0.42600003,-0.33200002,-0.26700002,-1.088,0.99560416,0,nan,0.0,4,1,15
53511513,1540574933000442,323874450,-1170763621,18669,-15776,0.45400003,0.7516862,1.187,2.4850001,0.7,1.0799999,65,5,0.216,0.21200001,0.038000003,-1.9810001,0.99560416,0,nan,0.0,4,1,15
53719531,1540574933200442,323874455,-1170763619,19035,-15409,0.46500003,0.75177276,1.194,2.4940002,0.7,1.0799999,65,5,0.40800002,0.40800002,0.004,-2.3390002,0.99560416,0,nan,0.0,4,1,15
53921512,1540574933400442,323874463,-1170763616,19441,-15003,0.47000003,0.68449926,1.202,2.5010002,0.7,1.0799999,65,5,0.62,0.59300005,0.18100001,-1.9160001,0.6126849,0,nan,0.0,4,1,15
54121505,1540574933600442,323874482,-1170763610,19862,-14582,0.492,0.28038365,1.21,2.5080001,0.7,1.0799999,65,5,1.526,1.4790001,0.37600002,-1.8100001,0.30121326,0,nan,0.0,4,1,15
54325511,1540574933800442,323874517,-1170763601,20345,-14099,0.527,0.17755006,1.2190001,2.5140002,0.7,1.0799999,65,4,2.4290001,2.3830001,0.469,-1.9510001,0.22474237,0,nan,0.0,4,1,15
54526637,1540574934000442,323874570,-1170763587,20720,-13724,0.499,0.1208513,1.228,2.5210001,0.7,1.0799999,65,4,3.5700002,3.4940002,0.73200005,-1.8180001,0.21219607,0,nan,0.0,4,1,15
54718729,1540574934200442,323874641,-1170763569,21203,-13241,0.46400002,0.09523633,1.235,2.5270002,0.7,1.0799999,65,4,4.4620004,4.3430004,1.021,-1.8880001,0.22377929,0,nan,0.0,4,1,15
54917739,1540574934400442,323874727,-1170763549,21625,-12819,0.45600003,0.08141734,1.2420001,2.5330002,0.7,1.0799999,65,4,5.236,5.1590004,0.892,-1.9800001,0.1930128,0,nan,0.0,4,1,15
55121497,1540574934600442,323874831,-1170763521,22085,-12359,0.43300003,0.06832946,1.248,2.538,0.7,1.0799999,65,4,6.4170003,6.1840005,1.7120001,-1.9800001,0.23927328,0,nan,0.0,4,1,15
55323504,1540574934800442,323874944,-1170763477,22460,-11984,0.42700002,0.064357966,1.253,2.542,0.7,1.0799999,65,1,6.7300005,6.334,2.2740002,-2.092,0.2972327,0,nan,0.0,4,1,15
55523515,1540574935000442,323875063,-1170763420,22979,-11465,0.37800002,0.050370548,1.251,2.5310001,0.7,1.0799999,65,1,7.287,6.5650005,3.1620002,-2.1450002,0.39467356,0,nan,0.0,4,1,15
55727444,1540574935200442,323875180,-1170763346,23489,-10955,0.367,0.04623604,1.2440001,2.5080001,0.7,1.0799999,65,1,7.4990005,6.4880004,3.759,-2.181,0.47049275,0,nan,0.0,4,1,15
55919443,1540574935400442,323875293,-1170763256,24023,-10421,0.36,0.04969563,1.24,2.4970002,0.7,1.0799999,65,1,7.728,6.2830005,4.499,-2.055,0.54752403,0,nan,0.0,4,1,15
56111534,1540574935600442,323875398,-1170763155,24566,-9878,0.319,0.04829326,1.235,2.4780002,0.7,1.0799999,65,1,7.6440005,5.611,5.1910005,-2.072,0.657899,0,nan,0.0,4,1,15
56316499,1540574935800442,323875495,-1170763037,25111,-9333,0.32000002,0.048804637,1.23,2.466,0.7,1.0799999,65,1,7.8640003,5.0800004,6.0030003,-2.0930002,0.86848676,0,nan,0.0,4,1,15
56517498,1540574936000442,323875582,-1170762902,25525,-8919,0.289,0.04826568,1.225,2.4510002,0.7,1.0799999,65,1,7.9890003,4.6260004,6.5130005,-2.1000001,0.9532724,0,nan,0.0,4,1,15
56720255,1540574936200442,323875655,-1170762758,26081,-8363,0.27800003,0.05189265,1.2210001,2.4380002,0.7,1.0799999,65,1,7.8450003,3.4370003,7.0520005,-2.0960002,1.1172733,0,nan,0.0,4,1,15
56920503,1540574936400442,323875711,-1170762604,26652,-7792,0.287,0.049673114,1.218,2.426,0.7,1.0799999,65,1,8.001,2.7680001,7.5060005,-2.025,1.2174641,0,nan,0.0,4,1,15
57117510,1540574936600442,323875753,-1170762438,26996,-7448,0.291,0.05072136,1.2160001,2.4220002,0.7,1.0799999,65,1,8.232,1.9230001,8.004001,-1.7830001,1.3349802,0,nan,0.0,4,1,15
