timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
86527035,-98.769905,26.72,102516.99,1.2180715
86539223,-98.85446,26.72,102517.99,1.2180834
86549001,-98.85446,26.72,102517.99,1.2180834
86571088,-98.60608,26.72,102515.0,1.2180477
86582503,-98.85446,26.72,102517.99,1.2180834
86593000,-98.60608,26.72,102515.0,1.2180477
86615003,-98.93373,26.72,102518.99,1.2180952
86626973,-98.52681,26.72,102514.0,1.2180359
86637021,-98.93373,26.72,102518.99,1.2180952
86659226,-98.93373,26.72,102518.99,1.2180952
86670566,-98.44225,26.72,102513.0,1.218024
86681113,-98.769905,26.72,102516.99,1.2180715
86702996,-98.690636,26.72,102516.0,1.2180597
86714924,-98.85446,26.72,102517.99,1.2180834
86725018,-98.85446,26.72,102517.99,1.2180834
86747249,-98.93373,26.72,102518.99,1.2180952
86758566,-98.93373,26.72,102518.99,1.2180952
86769024,-99.01828,26.72,102519.99,1.2181071
86790888,-98.357704,26.72,102512.0,1.2180121
86802038,-98.52681,26.72,102514.0,1.2180359
86812870,-98.769905,26.72,102516.99,1.2180715
86835230,-99.26666,26.72,102523.0,1.2181429
86847234,-98.60608,26.72,102515.0,1.2180477
86857850,-99.10284,26.72,102521.0,1.218119
86879850,-98.769905,26.72,102516.99,1.2180715
86891718,-98.690636,26.72,102516.0,1.2180597
86902796,-98.93373,26.72,102518.99,1.2180952
86925012,-98.85446,26.72,102517.99,1.2180834
86936500,-98.769905,26.72,102516.99,1.2180715
86947235,-98.85446,26.72,102517.99,1.2180834
86969020,-98.52681,26.72,102514.0,1.2180359
86979961,-98.85446,26.72,102517.99,1.2180834
86990996,-99.10284,26.72,102521.0,1.218119
87013022,-98.52681,26.72,102514.0,1.2180359
87024498,-99.10284,26.72,102521.0,1.218119
87035217,-98.357704,26.72,102512.0,1.2180121
87057001,-98.93373,26.72,102518.99,1.2180952
87067714,-99.182106,26.72,102522.0,1.218131
87078801,-98.93373,26.72,102518.99,1.2180952
87100855,-98.769905,26.72,102516.99,1.2180715
87111861,-98.93373,26.72,102518.99,1.2180952
87123268,-98.690636,26.72,102516.0,1.2180597
87146916,-99.182106,26.73,102522.0,1.218131
87158501,-98.19388,26.73,102510.0,1.2179884
87169124,-98.357704,26.73,102512.0,1.2180121
87190892,-98.93373,26.73,102518.99,1.2180952
87202047,-99.26666,26.73,102523.0,1.2181429
87211956,-98.85446,26.73,102517.99,1.2180834
87235246,-98.769905,26.73,102516.99,1.2180715
87247228,-98.85446,26.73,102517.99,1.2180834
87258924,-98.769905,26.73,102516.99,1.2180715
87281028,-98.769905,26.73,102516.99,1.2180715
87292501,-99.182106,26.73,102522.0,1.218131
87302997,-97.9455,26.73,102506.99,1.2179526
87325023,-98.93373,26.73,102518.99,1.2180952
87336501,-98.690636,26.73,102516.0,1.2180597
87347216,-98.690636,26.73,102516.0,1.2180597
87369125,-98.60608,26.72,102515.0,1.2180477
87380501,-98.10932,26.72,102509.0,1.2179765
87391035,-97.61785,26.72,102503.0,1.2179052
87413021,-98.357704,26.73,102512.0,1.2180121
87424500,-98.357704,26.73,102512.0,1.2180121
87435223,-99.01828,26.73,102519.99,1.2181071
87457018,-98.60608,26.73,102515.0,1.2180477
87468502,-98.52681,26.73,102514.0,1.2180359
